variable,kind,source_name,sheet,unit,definition
l_TOP44,local,stream_diff_up_near_sd,TOPOGRAPHY,m,Elevation difference of the shortest path from focal grid cell to the sub-catchment drainage divide [sd]
l_TOP45,local,stream_diff_up_farth_min,TOPOGRAPHY,m,Elevation difference of the longest path from focal grid cell to the sub-catchment drainage divide [minimum]
l_TOP46,local,stream_diff_up_farth_max,TOPOGRAPHY,m,Elevation difference of the longest path from focal grid cell to the sub-catchment drainage divide [maximum]
l_TOP47,local,stream_diff_up_farth_mean,TOPOGRAPHY,m,Elevation difference of the longest path from focal grid cell to the sub-catchment drainage divide [mean]
u_TOP47,upstream,stream_diff_up_farth_mean,TOPOGRAPHY,m,Elevation difference of the longest path from focal grid cell to the sub-catchment drainage divide [mean]
l_TOP48,local,stream_diff_up_farth_sd,TOPOGRAPHY,m,Elevation difference of the longest path from focal grid cell to the sub-catchment drainage divide [sd]
l_TOP49,local,stream_diff_dw_near_min,TOPOGRAPHY,m,Elevation difference between focal grid cell and its nearest downstream stream pixel [minimum]
l_TOP50,local,stream_diff_dw_near_max,TOPOGRAPHY,m,Elevation difference between focal grid cell and its nearest downstream stream pixel [maximum]
l_TOP51,local,stream_diff_dw_near_mean,TOPOGRAPHY,m,Elevation difference between focal grid cell and its nearest downstream stream pixel [mean]
u_TOP51,upstream,stream_diff_dw_near_mean,TOPOGRAPHY,m,Elevation difference between focal grid cell and its nearest downstream stream pixel [mean]
l_TOP52,local,stream_diff_dw_near_sd,TOPOGRAPHY,m,Elevation difference between focal grid cell and its nearest downstream stream pixel [sd]
l_TOP53,local,outlet_diff_dw_basin_min,TOPOGRAPHY,m,Elevation difference between focal grid cell and the outlet grid cell in the network [minimum]
l_TOP54,local,outlet_diff_dw_basin_max,TOPOGRAPHY,m,Elevation difference between focal grid cell and the outlet grid cell in the network [maximum]
l_TOP55,local,outlet_diff_dw_basin_mean,TOPOGRAPHY,m,Elevation difference between focal grid cell and the outlet grid cell in the network [mean]
u_TOP55,upstream,outlet_diff_dw_basin_mean,TOPOGRAPHY,m,Elevation difference between focal grid cell and the outlet grid cell in the network [mean]
l_TOP56,local,outlet_diff_dw_basin_sd,TOPOGRAPHY,m,Elevation difference between focal grid cell and the outlet grid cell in the network [sd]
l_TOP57,local,outlet_diff_dw_scatch_min,TOPOGRAPHY,m,Elevation difference between focal  grid cell and the downstream stream node grid cell [minimum]
l_TOP58,local,outlet_diff_dw_scatch_max,TOPOGRAPHY,m,Elevation difference between focal  grid cell and the downstream stream node grid cell [maximum]
l_TOP59,local,outlet_diff_dw_scatch_mean,TOPOGRAPHY,m,Elevation difference between focal  grid cell and the downstream stream node grid cell [mean]
u_TOP59,upstream,outlet_diff_dw_scatch_mean,TOPOGRAPHY,m,Elevation difference between focal  grid cell and the downstream stream node grid cell [mean]
l_TOP60,local,outlet_diff_dw_scatch_sd,TOPOGRAPHY,m,Elevation difference between focal  grid cell and the downstream stream node grid cell [sd]
l_TOP61,local,channel_grad_dw_seg_min,TOPOGRAPHY,–,Segment downstream mean gradient (between focal cell and the node or outlet) [minimum]
l_TOP62,local,channel_grad_dw_seg_max,TOPOGRAPHY,–,Segment downstream mean gradient (between focal cell and the node or outlet) [maximum]
l_TOP63,local,channel_grad_dw_seg_mean,TOPOGRAPHY,–,Segment downstream mean gradient (between focal cell and the node or outlet) [mean]
u_TOP63,upstream,channel_grad_dw_seg_mean,TOPOGRAPHY,–,Segment downstream mean gradient (between focal cell and the node or outlet) [mean]
l_TOP64,local,channel_grad_dw_seg_sd,TOPOGRAPHY,–,Segment downstream mean gradient (between focal cell and the node or outlet) [sd]
l_TOP65,local,channel_grad_up_seg_min,TOPOGRAPHY,–,Segment upstream mean gradient (between focal cell and the init or node) [minimum]
l_TOP66,local,channel_grad_up_seg_max,TOPOGRAPHY,–,Segment upstream mean gradient (between focal cell and the init or node) [maximum]
l_TOP67,local,channel_grad_up_seg_mean,TOPOGRAPHY,–,Segment upstream mean gradient (between focal cell and the init or node) [mean]
u_TOP67,upstream,channel_grad_up_seg_mean,TOPOGRAPHY,–,Segment upstream mean gradient (between focal cell and the init or node) [mean]
l_TOP68,local,channel_grad_up_seg_sd,TOPOGRAPHY,–,Segment upstream mean gradient (between focal cell and the init or node) [sd]
l_TOP69,local,channel_grad_up_cel_min,TOPOGRAPHY,–,Cell upstream gradient between focal cell and the next cell [minimum]
l_TOP70,local,channel_grad_up_cel_max,TOPOGRAPHY,–,Cell upstream gradient between focal cell and the next cell [maximum]
l_TOP71,local,channel_grad_up_cel_mean,TOPOGRAPHY,–,Cell upstream gradient between focal cell and the next cell [mean]
u_TOP71,upstream,channel_grad_up_cel_mean,TOPOGRAPHY,–,Cell upstream gradient between focal cell and the next cell [mean]
l_TOP72,local,channel_grad_up_cel_sd,TOPOGRAPHY,–,Cell upstream gradient between focal cell and the next cell [sd]
l_TOP73,local,channel_curv_cel_min,TOPOGRAPHY,–,Cell stream course curvature of the focal cell [minimum]
l_TOP74,local,channel_curv_cel_max,TOPOGRAPHY,–,Cell stream course curvature of the focal cell [maximum]
l_TOP75,local,channel_curv_cel_mean,TOPOGRAPHY,–,Cell stream course curvature of the focal cell [mean]
u_TOP75,upstream,channel_curv_cel_mean,TOPOGRAPHY,–,Cell stream course curvature of the focal cell [mean]
l_TOP76,local,channel_curv_cel_sd,TOPOGRAPHY,–,Cell stream course curvature of the focal cell [sd]
l_TOP77,local,channel_elv_dw_seg_min,TOPOGRAPHY,–,Segment downstream elevation difference [minimum]
l_TOP78,local,channel_elv_dw_seg_max,TOPOGRAPHY,–,Segment downstream elevation difference [maximum]
l_TOP79,local,channel_elv_dw_seg_mean,TOPOGRAPHY,–,Segment downstream elevation difference [mean]
u_TOP79,upstream,channel_elv_dw_seg_mean,TOPOGRAPHY,–,Segment downstream elevation difference [mean]
l_TOP80,local,channel_elv_dw_seg_sd,TOPOGRAPHY,–,Segment downstream elevation difference [sd]
l_TOP81,local,channel_elv_up_seg_min,TOPOGRAPHY,–,Segment upstream elevation difference (between focal cell and the init or node) [minimum]
l_TOP82,local,channel_elv_up_seg_max,TOPOGRAPHY,–,Segment upstream elevation difference (between focal cell and the init or node) [maximum]
l_TOP83,local,channel_elv_up_seg_mean,TOPOGRAPHY,–,Segment upstream elevation difference (between focal cell and the init or node) [mean]
u_TOP83,upstream,channel_elv_up_seg_mean,TOPOGRAPHY,–,Segment upstream elevation difference (between focal cell and the init or node) [mean]
l_TOP84,local,channel_elv_up_seg_sd,TOPOGRAPHY,–,Segment upstream elevation difference (between focal cell and the init or node) [sd]
l_TOP85,local,channel_elv_up_cel_min,TOPOGRAPHY,–,Cell upstream elevation difference (between focal cell and the next cell) [minimum]
l_TOP86,local,channel_elv_up_cel_max,TOPOGRAPHY,–,Cell upstream elevation difference (between focal cell and the next cell) [maximum]
l_TOP87,local,channel_elv_up_cel_mean,TOPOGRAPHY,–,Cell upstream elevation difference (between focal cell and the next cell) [mean]
u_TOP87,upstream,channel_elv_up_cel_mean,TOPOGRAPHY,–,Cell upstream elevation difference (between focal cell and the next cell) [mean]
l_TOP88,local,channel_elv_up_cel_sd,TOPOGRAPHY,–,Cell upstream elevation difference (between focal cell and the next cell) [sd]
l_TOP89,local,channel_elv_dw_cel_min,TOPOGRAPHY,–,Cell downstream elevation difference (between focal cell and the next cell) [minimum]
l_TOP90,local,channel_elv_dw_cel_max,TOPOGRAPHY,–,Cell downstream elevation difference (between focal cell and the next cell) [maximum]
l_TOP91,local,channel_elv_dw_cel_mean,TOPOGRAPHY,–,Cell downstream elevation difference (between focal cell and the next cell) [mean]
u_TOP91,upstream,channel_elv_dw_cel_mean,TOPOGRAPHY,–,Cell downstream elevation difference (between focal cell and the next cell) [mean]
l_TOP92,local,channel_elv_dw_cel_sd,TOPOGRAPHY,–,Cell downstream elevation difference (between focal cell and the next cell) [sd]
l_TOP93,local,channel_dist_dw_seg_min,TOPOGRAPHY,–,Segment downstream distance (between focal cell and the node or outlet) [minimum]
l_TOP94,local,channel_dist_dw_seg_max,TOPOGRAPHY,–,Segment downstream distance (between focal cell and the node or outlet) [maximum]
l_TOP95,local,channel_dist_dw_seg_mean,TOPOGRAPHY,–,Segment downstream distance (between focal cell and the node or outlet) [mean]
u_TOP95,upstream,channel_dist_dw_seg_mean,TOPOGRAPHY,–,Segment downstream distance (between focal cell and the node or outlet) [mean]
l_TOP96,local,channel_dist_dw_seg_sd,TOPOGRAPHY,–,Segment downstream distance (between focal cell and the node or outlet) [sd]
l_TOP97,local,channel_dist_up_seg_min,TOPOGRAPHY,–,Segment upstream distance (between focal cell and the init or node) [minimum]
l_TOP98,local,channel_dist_up_seg_max,TOPOGRAPHY,–,Segment upstream distance (between focal cell and the init or node) [maximum]
l_TOP99,local,channel_dist_up_seg_mean,TOPOGRAPHY,–,Segment upstream distance (between focal cell and the init or node) [mean]
u_TOP99,upstream,channel_dist_up_seg_mean,TOPOGRAPHY,–,Segment upstream distance (between focal cell and the init or node) [mean]
l_TOP100,local,channel_dist_up_seg_sd,TOPOGRAPHY,–,Segment upstream distance (between focal cell and the init or node) [sd]
l_TOP101,local,channel_dist_up_cel_min,TOPOGRAPHY,–,Cell upstream distance (between focal cell and next cell) [minimum]
l_TOP102,local,channel_dist_up_cel_max,TOPOGRAPHY,–,Cell upstream distance (between focal cell and next cell) [maximum]
l_TOP103,local,channel_dist_up_cel_mean,TOPOGRAPHY,–,Cell upstream distance (between focal cell and next cell) [mean]
u_TOP103,upstream,channel_dist_up_cel_mean,TOPOGRAPHY,–,Cell upstream distance (between focal cell and next cell) [mean]
l_TOP104,local,channel_dist_up_cel_sd,TOPOGRAPHY,–,Cell upstream distance (between focal cell and next cell) [sd]
l_TOP105,local,strahler,TOPOGRAPHY,–,Strahler’s stream order
u_TOP105,upstream,strahler,TOPOGRAPHY,–,Strahler’s stream order
l_TOP106,local,horton,TOPOGRAPHY,–,Horton’s stream order
l_TOP107,local,hack,TOPOGRAPHY,–,Hack’s stream order
l_TOP108,local,shreve,TOPOGRAPHY,–,Shreve’s stream magnitude
l_TOP109,local,topo_dim,TOPOGRAPHY,–,Topological dimension of streams
l_TOP110,local,length,TOPOGRAPHY,m,Length of the stream reach
u_TOP110,upstream,length,TOPOGRAPHY,m,Length of the stream reach
l_TOP111,local,stright,TOPOGRAPHY,m,Length of the stream as straight line
u_TOP111,upstream,stright,TOPOGRAPHY,m,Length of the stream as straight line
l_TOP112,local,sinusoid,TOPOGRAPHY,m,Sinusoid of the stream reach (fractal dimension: stream length/straight stream length)
u_TOP112,upstream,sinusoid,TOPOGRAPHY,m,Sinusoid of the stream reach (fractal dimension: stream length/straight stream length)
l_TOP113,local,cum_length,TOPOGRAPHY,m,Accumulated length of stream from source
l_TOP114,local,out_dist,TOPOGRAPHY,m,Distance to outlet (distance of current stream init from outlet)
u_TOP114,upstream,out_dist,TOPOGRAPHY,m,Distance to outlet (distance of current stream init from outlet)
l_TOP115,local,source_elev,TOPOGRAPHY,m,Source elevation (elevation of stream init)
l_TOP116,local,outlet_elev,TOPOGRAPHY,m,Outlet elevation (elevation of stream outlet)
l_TOP117,local,elev_drop,TOPOGRAPHY,m,Difference between source elevation and outlet elevation + outlet drop
u_TOP117,upstream,elev_drop,TOPOGRAPHY,m,Difference between source elevation and outlet elevation + outlet drop
l_TOP118,local,out_drop,TOPOGRAPHY,m,Outlet drop (drop at the outlet of the stream)
l_TOP119,local,gradient,TOPOGRAPHY,m,Mean gradient of the sub-catchment (downstream elevation difference divided by distance)
u_TOP119,upstream,gradient,TOPOGRAPHY,m,Mean gradient of the sub-catchment (downstream elevation difference divided by distance)
l_TOP120,local,elev_min,TOPOGRAPHY,m,Elevation of the sub-catchment [minimum]
l_TOP121,local,elev_max,TOPOGRAPHY,m,Elevation of the sub-catchment [maximum]
l_TOP122,local,elev_mean,TOPOGRAPHY,m,Elevation of the sub-catchment [mean]
u_TOP122,upstream,elev_mean,TOPOGRAPHY,m,Elevation of the sub-catchment [mean]
l_TOP123,local,elev_sd,TOPOGRAPHY,m,Elevation of the sub-catchment [sd]
l_TOP124,local,flow_ltm_min,TOPOGRAPHY,m³/s,"Long-term mean annual flow (FLO1K, 1980-2010) [minimum]"
l_TOP125,local,flow_ltm_max,TOPOGRAPHY,m³/s,"Long-term mean annual flow (FLO1K, 1980-2010) [maximum]"
l_TOP126,local,flow_ltm_mean,TOPOGRAPHY,m³/s,"Long-term mean annual flow (FLO1K, 1980-2010) [mean]"
u_TOP126,upstream,flow_ltm_mean,TOPOGRAPHY,m³/s,"Long-term mean annual flow (FLO1K, 1980-2010) [mean]"
l_TOP127,local,flow_ltm_sd,TOPOGRAPHY,m³/s,"Long-term mean annual flow (FLO1K, 1980-2010) [sd]"
l_TOP128,local,flow_ltsd_min,TOPOGRAPHY,m³/s,"Long-term standart deviation annual flow (FLO1K, 1980-2010) [minimum]"
l_TOP129,local,flow_ltsd_max,TOPOGRAPHY,m³/s,"Long-term standart deviation annual flow (FLO1K, 1980-2010) [maximum]"
l_TOP130,local,flow_ltsd_mean,TOPOGRAPHY,m³/s,"Long-term standart deviation annual flow (FLO1K, 1980-2010) [mean]"
u_TOP130,upstream,flow_ltsd_mean,TOPOGRAPHY,m³/s,"Long-term standart deviation annual flow (FLO1K, 1980-2010) [mean]"
l_TOP131,local,flow_ltsd_sd,TOPOGRAPHY,m³/s,"Long-term standart deviation annual flow (FLO1K, 1980-2010) [sd]"
l_TOP132,local,flow_accum,TOPOGRAPHY,km²,Accumulated number of cells that drain through each cell
u_TOP132,upstream,flow_accum,TOPOGRAPHY,km²,Accumulated number of cells that drain through each cell
l_TOP133,local,spi_min,TOPOGRAPHY,–,"Stream power index – a measure of the erosive power of flowing water (Moore et al., 1991) [minimum]"
l_TOP134,local,spi_max,TOPOGRAPHY,–,"Stream power index – a measure of the erosive power of flowing water (Moore et al., 1991) [maximum]"
l_TOP135,local,spi_mean,TOPOGRAPHY,–,"Stream power index – a measure of the erosive power of flowing water (Moore et al., 1991) [mean]"
u_TOP135,upstream,spi_mean,TOPOGRAPHY,–,"Stream power index – a measure of the erosive power of flowing water (Moore et al., 1991) [mean]"
l_TOP136,local,spi_sd,TOPOGRAPHY,–,"Stream power index – a measure of the erosive power of flowing water (Moore et al., 1991) [sd]"
l_TOP137,local,sti_min,TOPOGRAPHY,–,"Sediment transportation index – a metric for describing the erosion and deposition of sediments (Mojaddadi et al., 2017) [minimum]"
l_TOP138,local,sti_max,TOPOGRAPHY,–,"Sediment transportation index – a metric for describing the erosion and deposition of sediments (Mojaddadi et al., 2017) [maximum]"
l_TOP139,local,sti_mean,TOPOGRAPHY,–,"Sediment transportation index – a metric for describing the erosion and deposition of sediments (Mojaddadi et al., 2017) [mean]"
u_TOP139,upstream,sti_mean,TOPOGRAPHY,–,"Sediment transportation index – a metric for describing the erosion and deposition of sediments (Mojaddadi et al., 2017) [mean]"
l_TOP140,local,sti_sd,TOPOGRAPHY,–,"Sediment transportation index – a metric for describing the erosion and deposition of sediments (Mojaddadi et al., 2017)"
l_TOP141,local,cti_min,TOPOGRAPHY,–,"Compound topographic index – a steady state wetness index, also known as topographic wetness index (TWI) (Beven & Kirkby, 1979) [minimum]"
l_TOP142,local,cti_max,TOPOGRAPHY,–,"Compound topographic index – a steady state wetness index, also known as topographic wetness index (TWI) (Beven & Kirkby, 1979) [maximum]"
l_TOP143,local,cti_mean,TOPOGRAPHY,–,"Compound topographic index – a steady state wetness index, also known as topographic wetness index (TWI) (Beven & Kirkby, 1979) [mean]"
u_TOP143,upstream,cti_mean,TOPOGRAPHY,–,"Compound topographic index – a steady state wetness index, also known as topographic wetness index (TWI) (Beven & Kirkby, 1979) [mean]"
l_TOP144,local,cti_sd,TOPOGRAPHY,–,"Compound topographic index – a steady state wetness index, also known as topographic wetness index (TWI) (Beven & Kirkby, 1979) [sd]"
